Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.6041,Sun Aug 05 23:05:58 +0000 2018,0.775,0.0,0.225,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",176
0.3802,Sun Aug 05 23:01:25 +0000 2018,0.853,0.0,0.147,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",177
-0.2057,Sun Aug 05 22:58:41 +0000 2018,0.917,0.083,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",178
0.0,Sun Aug 05 22:58:36 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,179
-0.0572,Sun Aug 05 22:53:12 +0000 2018,0.936,0.064,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",180
-0.3612,Sun Aug 05 22:52:24 +0000 2018,0.82,0.121,0.059,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",181
0.4939,Sun Aug 05 22:49:06 +0000 2018,0.862,0.0,0.138,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",182
0.0,Sun Aug 05 22:46:49 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,183
0.4926,Sun Aug 05 22:32:37 +0000 2018,0.825,0.0,0.175,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,184
0.2732,Sun Aug 05 22:32:30 +0000 2018,0.877,0.0,0.123,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",185
